zip,path_in_zip,size_bytes,extension,category,decision,reasons,sha256
SpectralResearchVault.zip,SpectralResearchVault/Analog/CEM3389Filter/CEM3389Filter.cpp,10085,.cpp,code/config,keep,,7878797b3dd1d26b6bdf911175ae58af299c3e147f9b66dc7ed03bd853b7e1e5
SpectralResearchVault.zip,SpectralResearchVault/Analog/CEM3389Filter/CEM3389Filter.h,4227,.h,code/config,keep,,795c66a3dc99e6dc509023a4a0fe7ab02c53cc5b7406bdc58fc198da377fe28b
SpectralResearchVault.zip,SpectralResearchVault/Analog/MorphFilter/MorphFilter.h,2379,.h,code/config,keep,,3e86609647e79e4428b93aeb46565b299b258740144dadd0f80474b383a50cc2
SpectralResearchVault.zip,SpectralResearchVault/PluginConcepts/VintageCanvas/README.md,4303,.md,docs,keep,,5d63ba34ef33d9af7e8d1123afc03abcb4747e4692fdfc3db678abb4c9904e1a
SpectralResearchVault.zip,SpectralResearchVault/PluginConcepts/VintageCanvas/VintageCanvasProcessor.h,5100,.h,code/config,keep,,73b95a121dbad0add08ab2c4087593f3ff24d81fbd23f0bca520eeb874007da3
SpectralResearchVault.zip,SpectralResearchVault/README.md,1888,.md,docs,keep,,2fd1ae5ac2d58e736d3f138fe6ad78f98587b78487126c6abedb39f96b211bef
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/core/AuthenticEMUZPlane.cpp,8397,.cpp,code/config,keep,,1d22f55952e66af16b816ec7f29c668973d5ce505ecdeac931b55baac996198a
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/core/ZPlaneCoefficientBank.cpp,881,.cpp,code/config,keep,,94ec3adfbef90e21b3ea030eeb6a7811515b91d10a837d4e5553721202d35df2
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/core/ZPlaneCoefficientBank.h,1482,.h,code/config,keep,,3b5be9fad2ef6e9cc10fc66ceaa11ac6ab9985be7efc9213d098b846931f1543
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/core/ZPlaneFilter.h,9702,.h,code/config,keep,,e88fb421a28886ce04e696629c58df885f6552da3dfe792279db8721046b4483
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/core/ZPlaneHelpers.h,3225,.h,code/config,keep,,6062a8f7c246f2b555d37681caab9ac4a0a24a3f00779d77450bae7ce5031e5a
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/core/ZPlaneUtils.h,1142,.h,code/config,keep,,8029f02b03887fe74998d38a0ae2cb5ff9d1ee6153cfd56d65f25766d5afa0ea
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/shapes/audity_shapes_A_48k.json,1535,.json,code/config,keep,,c20e8bdcb640998007e689f40f3354b73e3a8c8a95597dc325d69ae242c0b2d1
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/shapes/audity_shapes_B_48k.json,1567,.json,code/config,keep,,15362e619d2479efbfb9f94cc4288dfc00345916525c55a0269b8a918a11c555
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/spectral/ZPlaneSpectralMask.cpp,5997,.cpp,code/config,keep,,7abeb776b8df58889f1ea2ee863ea7a3beb66712f287632875e391bbf7d6f98c
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/spectral/ZPlaneSpectralMask.h,2341,.h,code/config,keep,,0b3903df7a191efcf8bf19c8d16cd0ce263cb909523b747217ebd028ae160005
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/tables/ZPlaneLogFreqLUT.h,1238,.h,code/config,keep,,7c489ac1de563d453be4a1543b597538f37aba96dc58738adee9029a799dc175
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/tables/ZPlaneTables.h,2566,.h,code/config,keep,,a294e4862f9dfe94692f169d360bdb12aea33c0b423f0c72d1de943e6ee53050
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/tables/ZPlaneTables_T1.h,2844,.h,code/config,keep,,aa64fa2420fc73fd8dd2ba54012d42fa07935d3d439ffa336218ebfb44184902
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/AUTHENTIC/tables/ZPlaneTables_T2.h,2856,.h,code/config,keep,,c9adbfd74a99b35274a4081a86d8ca85d0537cedcace74648ee0e80eedd75728
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/banks/orbit3/Orbit-3_comprehensive.json,66880,.json,code/config,keep,,63018915657a30fe30edbf37184ab91c2719c0bcfc56d796cc6417c7c8110ed6
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/banks/planet_phatt/Planet_Phatt_comprehensive.json,102568,.json,code/config,keep,,76e666eb437053c4ff5411695d5f5515ac468bc1632d700cab86c7bb09a9c3db
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/banks/proteus/Proteus1_fixed.json,76682,.json,code/config,keep,,530cb16352c8b9dd1acae5fa881c4dcf8a0eadbb36b1c3d3575871fe86332401
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/banks/proteus/ProteusX_Composer.json,18771,.json,code/config,keep,,6314dac972e533779ea959fb567d02ac70985b0d0d8a12bf081643281efdbb0c
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/documentation/extraction/EXTRACTION_GUIDE.md,1260,.md,docs,keep,,102a39012410b46743672af845873651ac5cd6dd8f7af6751b423ced71a13b52
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/documentation/extraction/HANDOFF_EMU_INTEGRATION.md,3095,.md,docs,keep,,afb45d2d89842f8b79c2baaaa4ff16954c5b87855f97255a9b3aa6fe1777c544
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/documentation/hardware_specs/EMU_AUDITY_2000_TECHNICAL_SPECS.md,10218,.md,docs,keep,,25e603627fe921e744497d6e5e8663f53b3551b41d51461a5b656186bf931e0b
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/documentation/implementation/ARCHITECTURE_OVERVIEW.md,529,.md,docs,keep,,dfed24dac0cb686d71069dc622ce2925e8ecff9a77b646be3806730214388fba
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/documentation/implementation/MODULE_MAP.md,1051,.md,docs,keep,,0ca69e63f28d1039502e907c74c1d23873e31737a0f243ff1e605797123d337c
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/documentation/implementation/PORTING_CHECKLIST.md,514,.md,docs,keep,,33a71ce093224558191dc78b3ff12609319640d78e5dc092ab178af37f26a1c6
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/documentation/implementation/Z_PLANE_FILTER_IMPLEMENTATION_SPEC.md,17351,.md,docs,keep,,b609924d46fe8361b8566b41597af1ec8a7beecdb2dbbabc23f334db6d56da78
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/documentation/research/RESEARCH_SOURCES.md,12039,.md,docs,keep,,ea675a297276c98578c27c009cb39e0e3ab424e22d65197cf1a06feff0de3c3f
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/INDEX.csv,59498,.csv,docs,keep,,e659923d9d389254cfdf1418e3537b9b561d2e80e3ea7c67895b5d9b36c34d95
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/manifest.json,3930,.json,code/config,keep,,a1c9a8c4979afae216861f34aed1ec13b512d97f0b61ceb1d31663c4d22b867e
EMU_ZPlane_Vault - 1.zip,EMU_ZPlane_Vault/README.md,2433,.md,docs,keep,,6d1ba5cdb43b6f02a2011d01124fca7a3ba05e6d3d0758dcdbcd629fe42847f8
Source - 2.zip,Source/assets/button/button_24px.png,870,.png,images,keep,,d316a90116e021c7c7faef7bf998b3ad292d5e244a39a65d564b827485fd9a1f
Source - 2.zip,Source/assets/button/button_32px.png,1180,.png,images,keep,,4942c31f2b1b42e94f0eb5ca1f20bfc3c54820e1b5f377658e9f2e24b8c3e791
Source - 2.zip,Source/assets/button/button_40px.png,1629,.png,images,keep,,2049de07879d373305b7c8bda4770c345fb68e4619505f645b916742b6db673c
Source - 2.zip,Source/assets/knob/knob_32px.png,2006,.png,images,keep,,65021a817c402628c38e7c3747cb44efe662cd937959a1b18a9ab2b570929f23
Source - 2.zip,Source/assets/knob/knob_48px.png,3560,.png,images,keep,,eae6a17a03cc365b13c3fa418c3f84d01dee241c2eb3bfea4038c00fe3563213
Source - 2.zip,Source/assets/knob/knob_64px.png,5544,.png,images,keep,,f3d1c354902e80fc4bb8a5589f217ce8084204007db0c325b8963099cbc13043
Source - 2.zip,Source/assets/lcd/lcd_segment_16px.png,482,.png,images,keep,,90d90e3899287368e6a42cd69b4c2e34e0812cef4cf080f692e38d1f100b2164
Source - 2.zip,Source/assets/lcd/lcd_segment_20px.png,508,.png,images,keep,,89316a14ea27e2f5eb63c64de00d14faa7a4895aca071f552c479267291707ec
Source - 2.zip,Source/assets/lcd/lcd_segment_24px.png,678,.png,images,keep,,ca1839104f189b7fe534f0627054a7506eda6938e810c0d3cefed69c818cf98d
Source - 2.zip,Source/assets/lcd/led_green_16px.png,462,.png,images,keep,,20d8e4390fd701b4324ba22227840716bc16bc3bf8ad0822c4ea426bbbfffdae
Source - 2.zip,Source/assets/lcd/led_green_20px.png,566,.png,images,keep,,128f14a70df1f3a2883f6e050c786273bc0b0c93e2beb0272a7762a180212a92
Source - 2.zip,Source/assets/lcd/led_green_24px.png,763,.png,images,keep,,db2da405b6985a1900683f47ca3962a2aee6bc43a409f2206c7c20a7eedc4242
Source - 2.zip,Source/assets/led/led_green_12px.png,392,.png,images,keep,,0c8ab5dc576752d8da338bb122401e02085da3355d7ee118b3940d273424a6f8
Source - 2.zip,Source/assets/led/led_green_16px.png,498,.png,images,keep,,f97ef810f86b18cf63b2c9b7234e5c1962c30f0c38a56c133bc4578bc9eb5601
Source - 2.zip,Source/assets/led/led_green_20px.png,653,.png,images,keep,,15fd5140a2f9743e3592995f0b931c34f1ac915b50976f152d20d75a1106cee1
Source - 2.zip,Source/assets/led/led_red_12px.png,469,.png,images,keep,,ef246cd44e00b6c58a8202b7a89c5c04e5fd5bd79c60282408474eec3b5d6fa8
Source - 2.zip,Source/assets/led/led_red_16px.png,724,.png,images,keep,,2d48e2a62b603ea06b5d1b01528ebd0ad4d05edb55727b683b7758fb328d2e6a
Source - 2.zip,Source/assets/led/led_red_20px.png,974,.png,images,keep,,da3a110e7a878f4cffe868c05fc26991a03bc26317c81228e0a052fc3bf85bf4
Source - 2.zip,Source/assets/manifest.json,2555,.json,code/config,keep,,25d39ea64a4a4fa0aa33fa44f97f6a572d19bb5034909d0d561a15d8f203710b
Source - 2.zip,Source/assets/meter/meter_segment_16px.png,512,.png,images,keep,,19d7dfab99a6ec17b1be3edc4493e116d69041703120de76b28f59cc09b9e4cd
Source - 2.zip,Source/assets/meter/meter_segment_20px.png,627,.png,images,keep,,1c6f95ee078e6853ebc6827af0adc08f44c2d34c849bc9087161660c2ba2ab9c
Source - 2.zip,Source/assets/meter/meter_segment_24px.png,832,.png,images,keep,,f0c0af3f540dc542f0da3e7b7d6de3ea4634b20e0dc35dfcb9bdf8acb064e972
Source - 2.zip,Source/assets/panels/nameplate_aluminum_128px.png,11847,.png,images,keep,,38ea075dc3ef66f72dda53359ef3355b594ea98c2899c1812d1feac7983992ae
Source - 2.zip,Source/assets/panels/nameplate_aluminum_32px.png,1212,.png,images,keep,,8c084530431f1122f80c76af157a40f7d8f032ee297ec38ad6397f4518e07ef3
Source - 2.zip,Source/assets/panels/nameplate_aluminum_64px.png,3329,.png,images,keep,,a37657b0dd8c75ca957e01c4d566ae617c6bc24e0b54709999b952852cd96fd1
Source - 2.zip,Source/assets/panels/panel_graphite_128px.png,10157,.png,images,keep,,63525c3a80d28a24e276fb8225d004d446963d63f781d2055b8ac27e39549f56
Source - 2.zip,Source/assets/panels/panel_graphite_256px.png,53159,.png,images,keep,,6ee696a9ea04f93200377494270d678d2597179e0f8ebc8b708f50435831f250
Source - 2.zip,Source/assets/panels/panel_graphite_64px.png,2365,.png,images,keep,,364fc2193405689708c7ebe109e55fc61ab7da4bf95571db1646cb8c0d8939a8
Source - 2.zip,Source/assets/panels/panel_teal_128px.png,9327,.png,images,keep,,c16453533ec846df3abf9e61f342c3c55b8655cb799b37e1fbe59d92cc7c9810
Source - 2.zip,Source/assets/panels/panel_teal_256px.png,50935,.png,images,keep,,ab7c80584a37e21f59978b1ef76ba56659fac1287afa8db0cddaf2b0cfcade5b
Source - 2.zip,Source/assets/panels/panel_teal_64px.png,2294,.png,images,keep,,d3a1257bd1563bf1e8318ec595ccece217159d1fe89c4d3c3b06c0ad4f8ae36a
Source - 2.zip,Source/assets/sprite_index.txt,1238,.txt,docs,keep,,0b91b9197c3962f3d8249d40ef420da5f6dc4d1bcb67215a3c26f8c55b86ed12
Source - 2.zip,Source/assets/toggle/toggle_20px.png,939,.png,images,keep,,d927235479e91ea6362b242230db9e1d603e79b898f14ca7d5547ad7725ac2e8
Source - 2.zip,Source/assets/toggle/toggle_24px.png,1241,.png,images,keep,,1c4b9efc9164f0dadd2d0ce531234e525b74e21f83dad1a9e573fc8d6fb903c9
Source - 2.zip,Source/assets/toggle/toggle_28px.png,1587,.png,images,keep,,04661c68ca1cecc433eaec0b18a0eab114649f2fde1a068cb352433d73faefbe
Source - 2.zip,Source/CanvasPanel.h,1106,.h,code/config,keep,,2151fa017ca072f859e7057a42df4e1f22f24578dbe5ffb38d17260cae0aeb67
Source - 2.zip,Source/ColorToSpectralMapper.h,16441,.h,code/config,keep,,530af1f0d2e61a10125724f1f4043aacd0182bc78ebb092ed5af685b026a5c64
Source - 2.zip,Source/CommandLinePanel.cpp,22528,.cpp,code/config,keep,,6a60dce3952d7c1a536d6c92a2573ef235e77f16ee563007510da3494979eb01
Source - 2.zip,Source/CommandLinePanel.h,7354,.h,code/config,keep,,499996a7dc43c4432ad006e1a88fd48aacf5bb6b10ba35e64f36b7d899eb32c3
Source - 2.zip,Source/CommandQueue.h,8636,.h,code/config,keep,,2f628f019001ec94717ea401443544f8270bfcc5ffa97681d50070f03c9e6eaf
Source - 2.zip,Source/Commands.h,9076,.h,code/config,keep,,ac328c1fea226c11479955b0533c4b0f717c7e1b8d5908c7c76dbbcd74763b26
Source - 2.zip,Source/Core/AtlasIds.h,310,.h,code/config,keep,,5607ea90592d1f978489167f3f8a51eb65c149776b65d9707e0756ae80dc8aeb
Source - 2.zip,Source/Core/AudioPathId.h,811,.h,code/config,keep,,dc3c71371118018b594f5117558c2d30d3d63288dce4598b35da8159d49ef21b
Source - 2.zip,Source/Core/AudioRecorder.cpp,19867,.cpp,code/config,keep,,d6a2f3cc0ea2b9216b095970d8a5d23ad8616891e28f56571eb7015a67113cb8
Source - 2.zip,Source/Core/AudioRecorder.h,6781,.h,code/config,keep,,688b39a091d3c830ae0d37f452b757f45ce21dc45435095cd37094680d6e17f7
Source - 2.zip,Source/Core/BuildInfo.h,385,.h,code/config,keep,,6971c60e28603858008d47e4727180d26bec0e333c2445bbe43eceb7eb6bccd8
Source - 2.zip,Source/Core/CanvasLayer.cpp,16880,.cpp,code/config,keep,,11f38c2c91ae2e306be5bf1c2cb6c2fa5b1e8f1f3fdaccb9dc619165d7f22a32
Source - 2.zip,Source/Core/CanvasLayer.h,9314,.h,code/config,keep,,d3e3461b617eae3fa438214daa20a717ea84cab9a9e9f10121ec503e978907bf
Source - 2.zip,Source/Core/CanvasProcessor.cpp,5085,.cpp,code/config,keep,,aec283f11ddb323240f221bd597b1f9c58e76da935d18912ff1d050a65ef47c2
Source - 2.zip,Source/Core/CanvasProcessor.h,2264,.h,code/config,keep,,b3b35104509fd368ab42a653f15a9f3d7d39d3aa28a1d1349178e1b2c4683feb
Source - 2.zip,Source/Core/CDPSpectralEngine.cpp,40862,.cpp,code/config,keep,,b0fd81ed64e15f96893c51fa1e159e0ebbd9171fdc7747e30fb723e8a9532470
Source - 2.zip,Source/Core/CDPSpectralEngine.h,16009,.h,code/config,keep,,a3b89346147310c4cf5f17e0d1af01ef8aae0c33ea15928bbcc0863b1e9fa913
Source - 2.zip,Source/Core/CEM3389Filter.cpp,10085,.cpp,code/config,junk,duplicate of SpectralResearchVault.zip::SpectralResearchVault/Analog/CEM3389Filter/CEM3389Filter.cpp,7878797b3dd1d26b6bdf911175ae58af299c3e147f9b66dc7ed03bd853b7e1e5
Source - 2.zip,Source/Core/CEM3389Filter.h,5036,.h,code/config,keep,,69fd86a9d619f718e316d710d3f3ba3672da05929351bafc114da3aac89dfba0
Source - 2.zip,Source/Core/CollaborativeManager.cpp,10663,.cpp,code/config,keep,,5612c42d524f7b0bb99e664222a6af92db2adb7671ec1996297ff58d7cdb6025
Source - 2.zip,Source/Core/CollaborativeManager.h,19733,.h,code/config,keep,,471616c74d2c686ece892e33c72a2ee2debdc8a5313f45b7f0de1e526badce88
Source - 2.zip,Source/Core/ColorToSpectralMapper.cpp,11426,.cpp,code/config,keep,,782cc4cdb773f1e8f2b0bec97c7851c664a9af7d6ab7f558a2a662fa58cc32db
Source - 2.zip,Source/Core/ColorToSpectralMapper.h,4820,.h,code/config,keep,,cb7f6b8fb6fda33f9d869d3721c041158bfb0837e3635c0d28859a99b473819d
Source - 2.zip,Source/Core/ColumnOps.h,800,.h,code/config,keep,,ce9842c9da31253f34c9423eb5fca4969d70fd9276091a88a2f4db242c481352
Source - 2.zip,Source/Core/CommandQueue.h,8636,.h,code/config,junk,duplicate of Source - 2.zip::Source/CommandQueue.h,2f628f019001ec94717ea401443544f8270bfcc5ffa97681d50070f03c9e6eaf
Source - 2.zip,Source/Core/CommandQueueOptimized.h,13695,.h,code/config,keep,,e48c5450508b7a019721c39c9bb0ecb41491acdb695b08bd84be09b59930d8fb
Source - 2.zip,Source/Core/Commands.h,8769,.h,code/config,keep,,4eaef97565d1db19f36256b03e699b5361bb757545a9b0b943305029dd40f816
